latin,dhivehi
Civil court ah husha alhanee,ތިނަދޫގެ މައްސަލަ ދުލެއް ނުކުރި، ސިވިލް ކޯޓަށް ހުށަހަޅަނީ
ihuthiyaaree kamakah hadhan HRCM in hushahalhaifi,ގައިދީންގެ ބޮލާއި ތުނބުޅި ބޭލުން މަޖުބޫރުނުކޮށް، އިހުތިޔާރީ ކަމަކަށް ހަދަން އެޗްއާރުސީއެމުން ހުށަހަޅައިފި
Alimas carnival aa stage eh hadhan 4 million rf ah bayakaa havaalu koffi,ކާނިވަލުގައި އާ ސްޓޭޖެއް ހަދަން ހަތަރު މިލިއަން ރުފިޔާއަށް ބަޔަކާ ހަވާލުކޮށްފި
gasthugai maraalee,"ޒަކިއްޔާގެ މަރު: ""ރައްޔިތުންގެ ކެތްތެރިކަން ކޮޅުންލައިފި، ގަސްތުގައި މަރާލީ"""
Israel ah dhaa komme boatakee aharemen ge amaazeh: Houthi,އިޒްރޭލަށް ދާ ކޮންމެ ބޯޓަކީ އަހަރެމެންގެ އަމާޒެއް: ހޫތީން
Plaza in Ahmed Al Maghribi brand Raajje ah,ޕްލާޒާއިން އަހުމަދު އަލް މަގްރިބީ ބްރޭންޑް ރާއްޖެއަށް ތައާރަފްކޮށްފި
Male ge tharahgee ah sarukaaru visnumuge Candidate hovaidhee: Raees,މާލޭގެ ތަރައްގީއަށް ސަރުކާރުގެ ވިސްނުމުގެ ކެންޑިޑޭޓުން ހޮވައިދީ: ރައީސް
Vaguthun activate kurevey instant card MIB in thaaraf koffi,ވަގުތުން އެކްޓިވޭޓްކުރެވޭ އިންސްޓަންޓް ކާޑު އެމްއައިބީން ތައާރަފްކޮށްފި
Gaza ah 470 dhuvas fahun hama neyvaa eh!,ޣައްޒާއަށް 470 ދުވަސް ފަހުން ހަމަނޭވާއެއް!
000 ah bodu kuranee,ރިޓަޔާކުރާ އުމުރު 70 އަށް މަތިކޮށް، އުމުރުން ދުވަސްވީ މީހުންގެ އެލަވަންސް 7،000 ބޮޑުކުރަނީ
Governor vidhaalhuvee 2 aharu dhevvi lafaa thakah ves sarukaarun amalu nukuraa kamah!,ގަވަރުނަރު ވިދާޅުވީ، ދެ އަހަރު ދެއްވި ލަފާތަކަށް ވެސް ސަރުކާރުން އަމަލު ނުކުރާ ކަމަށް!
Aailaa in effaharaa 4 maru: faidhashun bingandu kehigen dhiya kahala!,އާއިލާ އިން އެއްފަހަރާ ހަތަރު މަރު: ފައިދަށުން ބިންގަނޑު ކެހިގެން ދިޔަ ކަހަލަ!
barulamaanee ah No: Fayyaz,"ޑރ. މުއިއްޒަށް ފުރުސަތު ލިބެން ޖެހޭ، ""ބަރުލަމާނީއަށް ނޯ"": ފައްޔާޒް"
Imran Khan ge party sarukaarun manaa kuranee,އިމްރާން ޚާންގެ ޕާޓީ މަނާކުރަން ޕާކިސްތާނު ސަރުކާރުން މަސައްކަތް ފަށައިފި
Israel ge aagu-boateh hifahattaifi,ހޫތީން، އިޒްރޭލުގެ އާގުބޯޓެއް ހިފަހައްޓައިފި
